ID;Short Name;Long Name;Route Type;Color;Route URL;Shape;geo_point_2d
593;P;Schaerbeek -- Bruges;Train;#C097B3;;"{""coordinates"": [[[4.37864, 50.87851], [4.36085, 50.85966], [4.362051, 50.85207], [4.356804, 50.84565], [4.34787, 50.84113], [4.33653, 50.83571], [4.09529, 50.88253], [4.07183, 50.89193], [4.050617, 50.90327], [4.023957, 50.90684], [3.987525, 50.91105], [3.922418, 50.90719], [3.896657, 50.90165], [3.880616, 50.89722], [3.85747, 50.8913], [3.81441, 50.8691], [3.733242, 50.87568], [3.6984, 50.8743], [3.600388, 50.85012], [3.495013, 50.82639], [3.391627, 50.83366], [3.264548, 50.8245]], [[3.264548, 50.8245], [3.255416, 50.91433], [3.212089, 50.92115], [3.130415, 50.94903], [3.127209, 51.02516], [3.10587, 51.06471], [3.164142, 51.12705], [3.21673, 51.19723]]], ""type"": ""MultiLineString""}";50.9064156282, 3.63218495674
592;P;Sint-Joris-Weert -- Poperinge;Train;#A0086C;;"{""coordinates"": [[[2.736345, 50.85445], [2.87659, 50.8474], [2.999286, 50.77207], [3.04698, 50.78186], [3.11379, 50.79949], [3.183519, 50.81152], [3.224208, 50.82585], [3.264548, 50.8245], [3.314007, 50.85587], [3.42551, 50.89246], [3.534435, 50.97826], [3.650467, 50.99706], [3.710673, 51.0359], [3.76889, 51.01753], [3.79709, 51.00281], [3.829591, 50.99175], [3.88188, 51.0016], [3.92137, 51.00315], [3.969195, 51.00196], [4.011095, 51.00315], [4.064472, 51.01523], [4.10143, 51.02278], [4.153496, 51.01944], [4.201663, 51.01629], [4.22911, 51.01449], [4.299069, 51.00909], [4.359118, 51.01084], [4.482785, 51.01765], [4.51384, 51.0082], [4.537634, 50.99779], [4.5739, 50.98185], [4.613306, 50.96643], [4.638014, 50.95855], [4.66301, 50.94425], [4.701478, 50.92274], [4.715868, 50.88228], [4.695201, 50.86253], [4.65331, 50.83593], [4.651728, 50.80063]], [[2.736345, 50.85445], [2.87659, 50.8474], [2.999286, 50.77207], [3.04698, 50.78186], [3.11379, 50.79949], [3.183519, 50.81152], [3.224208, 50.82585], [3.264548, 50.8245], [3.391627, 50.83366], [3.495013, 50.82639], [3.600388, 50.85012], [3.6984, 50.8743], [3.733242, 50.87568], [3.81441, 50.8691], [3.85747, 50.8913], [3.880616, 50.89722], [3.896657, 50.90165], [3.922418, 50.90719], [3.987525, 50.91105], [4.023957, 50.90684], [4.050617, 50.90327], [4.07183, 50.89193], [4.09529, 50.88253], [4.33653, 50.83571], [4.34787, 50.84113], [4.356804, 50.84565], [4.362051, 50.85207], [4.36085, 50.85966], [4.37864, 50.87851], [4.415358, 50.88969], [4.442773, 50.89048], [4.46989, 50.88572], [4.50611, 50.88331], [4.5433, 50.89307], [4.585, 50.89651], [4.63352, 50.90052], [4.67219, 50.90353], [4.715868, 50.88228], [4.695201, 50.86253], [4.65331, 50.83593], [4.651728, 50.80063]], [[2.736345, 50.85445], [2.87659, 50.8474], [2.999286, 50.77207], [3.04698, 50.78186], [3.11379, 50.79949], [3.183519, 50.81152], [3.224208, 50.82585], [3.264548, 50.8245], [3.314007, 50.85587], [3.42551, 50.89246], [3.534435, 50.97826], [3.650467, 50.99706], [3.710673, 51.0359], [3.76889, 51.01753], [3.79709, 51.00281], [3.829591, 50.99175], [3.88188, 51.0016], [3.92137, 51.00315], [3.969195, 51.00196], [4.011095, 51.00315], [4.064472, 51.01523], [4.10143, 51.02278], [4.117831, 51.0217], [4.134372, 51.00501], [4.156174, 50.9896], [4.187317, 50.97478], [4.222719, 50.95495], [4.216967, 50.93348], [4.207988, 50.90649], [4.274546, 50.89003], [4.326218, 50.88083], [4.34851, 50.87943], [4.37864, 50.87851], [4.415358, 50.88969], [4.442773, 50.89048], [4.46989, 50.88572], [4.50611, 50.88331], [4.5433, 50.89307], [4.585, 50.89651], [4.63352, 50.90052], [4.67219, 50.90353], [4.715868, 50.88228], [4.695201, 50.86253], [4.65331, 50.83593], [4.651728, 50.80063]]], ""type"": ""MultiLineString""}";50.898135086, 3.77935354887
197;IC;Bruxelles-Nord -- Gand-Saint-Pierre;Train;#4B9984;;"{""coordinates"": [[[4.36085, 50.85966], [4.342105, 50.8728], [4.328982, 50.86364], [4.32104, 50.84856], [4.09529, 50.88253], [4.07183, 50.89193], [4.055451, 50.91962], [4.039649, 50.94282], [3.98498, 50.9709], [3.95936, 50.9844], [3.92137, 51.00315], [3.88188, 51.0016], [3.829591, 50.99175], [3.79709, 51.00281], [3.76889, 51.01753], [3.710673, 51.0359]], [[3.710673, 51.0359], [3.76889, 51.01753], [3.79709, 51.00281], [3.829591, 50.99175], [3.88188, 51.0016], [3.92137, 51.00315], [3.95936, 50.9844], [3.98498, 50.9709], [4.039649, 50.94282], [4.055451, 50.91962], [4.07183, 50.89193], [4.09529, 50.88253], [4.32104, 50.84856], [4.328982, 50.86364], [4.342105, 50.8728], [4.36085, 50.85966]]], ""type"": ""MultiLineString""}";50.9336765044, 4.03963630995
193;S4;Bruxelles-Luxembourg -- Alost;Train;#B09C89;;"{""coordinates"": [[[4.039649, 50.94282], [4.055451, 50.91962], [4.07183, 50.89193], [4.09529, 50.88253], [4.11517, 50.88245], [4.16534, 50.87452], [4.20508, 50.86716], [4.24339, 50.86673], [4.273542, 50.86834], [4.289892, 50.87263], [4.326218, 50.88083], [4.34851, 50.87943], [4.380725, 50.84328], [4.373676, 50.83894]], [[4.373676, 50.83894], [4.380725, 50.84328], [4.34851, 50.87943], [4.326218, 50.88083], [4.289892, 50.87263], [4.273542, 50.86834], [4.24339, 50.86673], [4.20508, 50.86716], [4.16534, 50.87452], [4.11517, 50.88245], [4.09529, 50.88253], [4.07183, 50.89193], [4.055451, 50.91962], [4.039649, 50.94282]]], ""type"": ""MultiLineString""}";50.8791740914, 4.20873666127
272;IC;Schaerbeek -- La Louviere-Sud;Train;#F2D68A;;"{""coordinates"": [[[4.37864, 50.87851], [4.36085, 50.85966], [4.362051, 50.85207], [4.356804, 50.84565], [4.34787, 50.84113], [4.33653, 50.83571], [4.309167, 50.80922], [4.29533, 50.79183], [4.2737, 50.76636], [4.25856, 50.75158], [4.240633, 50.73393], [4.22158, 50.71511], [4.20573, 50.69171], [4.17589, 50.65101], [4.13766, 50.60508], [4.156637, 50.56239]], [[4.156637, 50.56239], [4.177102, 50.54617], [4.21158, 50.51936], [4.17986, 50.47816], [4.190611, 50.46498]], [[4.37864, 50.87851], [4.380725, 50.84328], [4.373676, 50.83894], [4.379445, 50.83], [4.389517, 50.82219], [4.39854, 50.80992], [4.393081, 50.80136], [4.37405, 50.79615], [4.362758, 50.79441], [4.330729, 50.77832], [4.302603, 50.76661], [4.266485, 50.7519], [4.240633, 50.73393], [4.22158, 50.71511], [4.20573, 50.69171], [4.17589, 50.65101], [4.13766, 50.60508], [4.156637, 50.56239], [4.177102, 50.54617], [4.21158, 50.51936], [4.17986, 50.47816], [4.190611, 50.46498]]], ""type"": ""MultiLineString""}";50.6784087605, 4.24051520339
104;IC;Hasselt -- Blankenberge;Train;#FD4856;;"{""coordinates"": [[[5.327631, 50.93082], [5.292867, 50.88683], [5.17665, 50.81762], [5.07966, 50.74793], [5.03632, 50.76396], [4.99422, 50.77213], [4.92581, 50.80802], [4.83552, 50.83628], [4.715868, 50.88228], [4.67219, 50.90353], [4.63352, 50.90052], [4.585, 50.89651], [4.5433, 50.89307], [4.50611, 50.88331], [4.46989, 50.88572], [4.442773, 50.89048], [4.415358, 50.88969], [4.37864, 50.87851], [4.36085, 50.85966], [4.362051, 50.85207], [4.356804, 50.84565], [4.34787, 50.84113], [4.33653, 50.83571], [3.710673, 51.0359], [3.655201, 51.04729], [3.576856, 51.06431], [3.53621, 51.07321], [3.48737, 51.08391], [3.447848, 51.0923], [3.38673, 51.10761], [3.32989, 51.12801], [3.25747, 51.15411], [3.21673, 51.19723], [3.201796, 51.22312], [3.13386, 51.31243]], [[5.327631, 50.93082], [5.187405, 50.96376], [5.05003, 50.99334], [4.98736, 51.00669], [4.94583, 51.00986], [4.86354, 51.00247], [4.82404, 50.98441], [4.747681, 50.95626], [4.715868, 50.88228], [4.67219, 50.90353], [4.63352, 50.90052], [4.585, 50.89651], [4.5433, 50.89307], [4.50611, 50.88331], [4.46989, 50.88572], [4.442773, 50.89048], [4.415358, 50.88969], [4.37864, 50.87851], [4.36085, 50.85966], [4.362051, 50.85207], [4.356804, 50.84565], [4.34787, 50.84113], [4.33653, 50.83571], [3.710673, 51.0359], [3.655201, 51.04729], [3.576856, 51.06431], [3.53621, 51.07321], [3.48737, 51.08391], [3.447848, 51.0923], [3.38673, 51.10761], [3.32989, 51.12801], [3.25747, 51.15411], [3.21673, 51.19723], [3.201796, 51.22312], [3.13386, 51.31243]], [[3.13386, 51.31243], [3.201796, 51.22312], [3.21673, 51.19723], [3.25747, 51.15411], [3.32989, 51.12801], [3.38673, 51.10761], [3.447848, 51.0923], [3.48737, 51.08391], [3.53621, 51.07321], [3.576856, 51.06431], [3.655201, 51.04729], [3.710673, 51.0359], [4.33653, 50.83571], [4.34787, 50.84113], [4.356804, 50.84565], [4.362051, 50.85207], [4.36085, 50.85966], [4.37864, 50.87851], [4.415358, 50.88969], [4.442773, 50.89048], [4.46989, 50.88572], [4.50611, 50.88331], [4.5433, 50.89307], [4.585, 50.89651], [4.63352, 50.90052], [4.67219, 50.90353], [4.715868, 50.88228], [4.747681, 50.95626], [4.82404, 50.98441], [4.86354, 51.00247], [4.94583, 51.00986], [4.98736, 51.00669], [5.05003, 50.99334], [5.187405, 50.96376], [5.327631, 50.93082]], [[3.13386, 51.31243], [3.201796, 51.22312], [3.21673, 51.19723], [3.25747, 51.15411], [3.32989, 51.12801], [3.38673, 51.10761], [3.447848, 51.0923], [3.48737, 51.08391], [3.53621, 51.07321], [3.576856, 51.06431], [3.655201, 51.04729], [3.710673, 51.0359], [4.33653, 50.83571], [4.34787, 50.84113], [4.356804, 50.84565], [4.362051, 50.85207], [4.36085, 50.85966], [4.37864, 50.87851], [4.415358, 50.88969], [4.442773, 50.89048], [4.46989, 50.88572], [4.50611, 50.88331], [4.5433, 50.89307], [4.585, 50.89651], [4.63352, 50.90052], [4.67219, 50.90353], [4.715868, 50.88228], [4.83552, 50.83628], [4.92581, 50.80802], [4.99422, 50.77213], [5.03632, 50.76396], [5.07966, 50.74793], [5.17665, 50.81762], [5.292867, 50.88683], [5.327631, 50.93082]]], ""type"": ""MultiLineString""}";50.9703912134, 4.21612118594
36;BUS;Gand-Saint-Pierre -- Deinze;Train;#9EF369;;"{""coordinates"": [[[3.710673, 51.0359], [3.650467, 50.99706], [3.534435, 50.97826]], [[3.534435, 50.97826], [3.650467, 50.99706], [3.710673, 51.0359]]], ""type"": ""MultiLineString""}";50.9985741333, 3.6258216631
231;S34;Anvers-Central -- Saint-Nicolas;Train;#002EC7;;"{""coordinates"": [[[4.142963, 51.17147], [4.185904, 51.18561], [4.259525, 51.20834], [4.286767, 51.21071], [4.329776, 51.21411], [4.390264, 51.19783], [4.432219, 51.19923], [4.421098, 51.2172]], [[4.421098, 51.2172], [4.432219, 51.19923], [4.390264, 51.19783], [4.329776, 51.21411], [4.286767, 51.21071], [4.259525, 51.20834], [4.185904, 51.18561], [4.142963, 51.17147]]], ""type"": ""MultiLineString""}";51.2002463561, 4.2957454074
1;IC;Luxembourg (l) -- Liers;Train;#2BAFE8;;"{""coordinates"": [[[6.133333, 49.6], [6.132853, 49.61913], [6.106111, 49.74889], [6.104167, 49.8475], [6.09149, 49.89729], [6.02, 49.95278], [5.999167, 49.98889], [6.006111, 50.01778], [6.031389, 50.05472], [6.000278, 50.12111]], [[5.95391, 50.18941], [5.909209, 50.27893], [5.873579, 50.36822], [5.880474, 50.39113], [5.672496, 50.47293], [5.587635, 50.48328], [5.578855, 50.50921], [5.572567, 50.53056], [5.573567, 50.53992], [5.587237, 50.54762], [5.583933, 50.57063], [5.59983, 50.61314], [5.566698, 50.62455], [5.56113, 50.6403], [5.570451, 50.64635], [5.622762, 50.66091], [5.600094, 50.69246], [5.566829, 50.69818]], [[5.968613, 50.17165], [5.95391, 50.18941]], [[6.133333, 49.6], [6.132853, 49.61913], [6.106111, 49.74889], [6.104167, 49.8475], [6.09149, 49.89729], [6.02, 49.95278], [5.999167, 49.98889], [6.006111, 50.01778], [6.031389, 50.05472], [6.000278, 50.12111], [5.968613, 50.17165]], [[5.95391, 50.18941], [5.968613, 50.17165], [6.000278, 50.12111]], [[6.000278, 50.12111], [6.031389, 50.05472], [6.006111, 50.01778], [5.999167, 49.98889], [6.02, 49.95278], [6.09149, 49.89729], [6.104167, 49.8475], [6.106111, 49.74889], [6.132853, 49.61913], [6.133333, 49.6]], [[5.566698, 50.62455], [5.56113, 50.6403], [5.570451, 50.64635], [5.622762, 50.66091], [5.600094, 50.69246], [5.566829, 50.69818]], [[5.566829, 50.69818], [5.600094, 50.69246], [5.622762, 50.66091], [5.570451, 50.64635], [5.56113, 50.6403], [5.566698, 50.62455], [5.59983, 50.61314], [5.583933, 50.57063], [5.587237, 50.54762], [5.573567, 50.53992], [5.572567, 50.53056], [5.578855, 50.50921], [5.587635, 50.48328], [5.672496, 50.47293], [5.880474, 50.39113], [5.873579, 50.36822], [5.909209, 50.27893], [5.95391, 50.18941]], [[6.000278, 50.12111], [5.968613, 50.17165]], [[5.95391, 50.18941], [5.909209, 50.27893], [5.873579, 50.36822], [5.880474, 50.39113], [5.672496, 50.47293], [5.587635, 50.48328], [5.578855, 50.50921], [5.572567, 50.53056], [5.573567, 50.53992], [5.587237, 50.54762], [5.583933, 50.57063], [5.59983, 50.61314], [5.566698, 50.62455]]], ""type"": ""MultiLineString""}";50.223959065, 5.8687030795
144;EXTRA;Bruxelles-Midi -- Hasselt;Train;#43CF62;;"{""coordinates"": [[[4.33653, 50.83571], [4.34787, 50.84113], [4.356804, 50.84565], [4.362051, 50.85207], [4.36085, 50.85966], [4.37864, 50.87851], [4.415358, 50.88969], [4.442773, 50.89048], [4.46989, 50.88572], [4.50611, 50.88331], [4.5433, 50.89307], [4.585, 50.89651], [4.63352, 50.90052], [4.67219, 50.90353], [4.747681, 50.95626], [4.82404, 50.98441], [4.86354, 51.00247], [4.94583, 51.00986], [4.98736, 51.00669], [5.05003, 50.99334], [5.187405, 50.96376], [5.327631, 50.93082]]], ""type"": ""MultiLineString""}";50.9425332379, 4.82135775925
